Home Team,Away Team,FH Goals,SH Goals,20 Min Score,Goals Scored (20),1+ More Goals By FT (20),2+ More Goals By FT (20),3+ More Goals By FT (20),1+ More Goals By HT (20),30 Min Score,Goals Scored (30),1+ More Goals By FT (30),2+ More Goals By FT (30),3+ More Goals By FT (30),1+ More Goals By HT (30),60 Min Score,Goals Scored (60),1+ More Goals By FT (60),2+ More Goals By FT (60),70 Min Score,Goals Scored (70),1+ More Goals By FT (70),2+ More Goals By FT (70),80 Min Score,Goals Scored (80),1+ More Goals By FT (80)
Newcastle,Brighton,2,1,2 - 0,2,1,0,0,0,2 - 0,2,1,0,0,0,2 - 1,3,0,0,2 - 1,3,0,0,2 - 1,3,0
Norwich,Brentford,1,3,0 - 0,0,1,1,1,1,0 - 0,0,1,1,1,1,0 - 3,3,1,0,0 - 3,3,1,0,0 - 3,3,1
Wolves,Crystal Palace,2,0,0 - 1,1,1,0,0,1,0 - 1,1,1,0,0,1,0 - 2,2,0,0,0 - 2,2,0,0,0 - 2,2,0
Leicester,Leeds,0,1,0 - 0,0,1,0,0,0,0 - 0,0,1,0,0,0,0 - 0,0,1,0,1 - 0,1,0,0,1 - 0,1,0
Burnley,Leicester,0,2,0 - 0,0,1,1,0,0,0 - 0,0,1,1,0,0,0 - 0,0,1,1,0 - 0,0,1,1,0 - 0,0,1
West Ham,Wolves,0,1,0 - 0,0,1,0,0,0,0 - 0,0,1,0,0,0,1 - 0,1,0,0,1 - 0,1,0,0,1 - 0,1,0
Everton,Man City,0,1,0 - 0,0,1,0,0,0,0 - 0,0,1,0,0,0,0 - 0,0,1,0,0 - 0,0,1,0,0 - 0,0,1
Brighton,Aston Villa,1,1,0 - 1,1,1,0,0,0,0 - 1,1,1,0,0,0,0 - 1,1,1,0,0 - 2,2,0,0,0 - 2,2,0
Brentford,Newcastle,2,0,0 - 0,0,1,1,0,1,0 - 0,0,1,1,0,1,0 - 2,2,0,0,0 - 2,2,0,0,0 - 2,2,0
Crystal Palace,Burnley,1,1,1 - 0,1,1,0,0,0,1 - 0,1,1,0,0,0,1 - 1,2,0,0,1 - 1,2,0,0,1 - 1,2,0
Leeds,Tottenham,3,1,0 - 2,2,1,1,0,1,0 - 3,3,1,0,0,0,0 - 3,3,1,0,0 - 3,3,1,0,0 - 3,3,1
Southampton,Norwich,1,1,0 - 0,0,1,1,0,1,0 - 0,0,1,1,0,1,1 - 0,1,1,0,1 - 0,1,1,0,1 - 0,1,1
Arsenal,Wolves,1,2,0 - 1,1,1,1,0,0,0 - 1,1,1,1,0,0,0 - 1,1,1,1,0 - 1,1,1,1,0 - 1,1,1
Liverpool,Leeds,3,3,1 - 0,1,1,1,1,1,2 - 0,2,1,1,1,1,3 - 0,3,1,1,3 - 0,3,1,1,4 - 0,4,1
Burnley,Tottenham,0,1,0 - 0,0,1,0,0,0,0 - 0,0,1,0,0,0,0 - 0,0,1,0,0 - 0,0,1,0,1 - 0,1,0
Watford,Crystal Palace,3,2,1 - 1,2,1,1,1,1,1 - 1,2,1,1,1,1,1 - 2,3,1,1,1 - 2,3,1,1,1 - 2,3,1
Wolves,Leicester,2,1,1 - 0,1,1,1,0,1,1 - 0,1,1,1,0,1,1 - 1,2,1,0,2 - 1,3,0,0,2 - 1,3,0
Leeds,Man Utd,2,4,0 - 0,0,1,1,1,1,0 - 0,0,1,1,1,1,2 - 2,4,1,1,2 - 3,5,1,0,2 - 3,5,1
Man City,Tottenham,2,3,0 - 1,1,1,1,1,1,0 - 1,1,1,1,1,1,1 - 2,3,1,1,1 - 2,3,1,1,1 - 2,3,1
Arsenal,Brentford,0,3,0 - 0,0,1,1,1,0,0 - 0,0,1,1,1,0,1 - 0,1,1,1,1 - 0,1,1,1,2 - 0,2,1
Aston Villa,Watford,0,1,0 - 0,0,1,0,0,0,0 - 0,0,1,0,0,0,0 - 0,0,1,0,0 - 0,0,1,0,0 - 1,1,0
Brighton,Burnley,2,1,0 - 0,0,1,1,1,1,0 - 1,1,1,1,0,1,0 - 2,2,1,0,0 - 3,3,0,0,0 - 3,3,0
Crystal Palace,Chelsea,0,1,0 - 0,0,1,0,0,0,0 - 0,0,1,0,0,0,0 - 0,0,1,0,0 - 0,0,1,0,0 - 0,0,1
Liverpool,Norwich,0,4,0 - 0,0,1,1,1,0,0 - 0,0,1,1,1,0,0 - 1,1,1,1,2 - 1,3,1,0,2 - 1,3,1
Southampton,Everton,0,2,0 - 0,0,1,1,0,0,0 - 0,0,1,1,0,0,1 - 0,1,1,0,1 - 0,1,1,0,1 - 0,1,1
West Ham,Newcastle,2,0,0 - 0,0,1,1,0,1,0 - 0,0,1,1,0,1,1 - 1,2,0,0,1 - 1,2,0,0,1 - 1,2,0
Man Utd,Brighton,0,2,0 - 0,0,1,1,0,0,0 - 0,0,1,1,0,0,1 - 0,1,1,0,1 - 0,1,1,0,1 - 0,1,1
Leicester,West Ham,2,2,0 - 1,1,1,1,1,1,0 - 1,1,1,1,1,1,2 - 1,3,1,0,2 - 1,3,1,0,2 - 1,3,1
Burnley,Liverpool,1,0,0 - 0,0,1,0,0,1,0 - 0,0,1,0,0,1,0 - 1,1,0,0,0 - 1,1,0,0,0 - 1,1,0
Newcastle,Aston Villa,1,0,0 - 0,0,1,0,0,1,0 - 0,0,1,0,0,1,1 - 0,1,0,0,1 - 0,1,0,0,1 - 0,1,0
Tottenham,Wolves,2,0,0 - 2,2,0,0,0,0,0 - 2,2,0,0,0,0,0 - 2,2,0,0,0 - 2,2,0,0,0 - 2,2,0
Norwich,Man City,1,3,0 - 0,0,1,1,1,1,0 - 0,0,1,1,1,1,0 - 2,2,1,1,0 - 3,3,1,0,0 - 3,3,1
Everton,Leeds,2,1,1 - 0,1,1,1,0,1,2 - 0,2,1,0,0,0,2 - 0,2,1,0,2 - 0,2,1,0,3 - 0,3,0
Watford,Brighton,1,1,0 - 0,0,1,1,0,1,0 - 0,0,1,1,0,1,0 - 1,1,1,0,0 - 1,1,1,0,0 - 1,1,1
Man Utd,Southampton,1,1,0 - 0,0,1,1,0,1,1 - 0,1,1,0,0,0,1 - 1,2,0,0,1 - 1,2,0,0,1 - 1,2,0
Liverpool,Leicester,1,1,0 - 0,0,1,1,0,1,0 - 0,0,1,1,0,1,1 - 0,1,1,0,1 - 0,1,1,0,1 - 0,1,1
Wolves,Arsenal,1,0,0 - 0,0,1,0,0,1,0 - 1,1,0,0,0,0,0 - 1,1,0,0,0 - 1,1,0,0,0 - 1,1,0
Aston Villa,Leeds,5,1,0 - 1,1,1,1,1,1,1 - 1,2,1,1,1,1,3 - 2,5,1,0,3 - 3,6,0,0,3 - 3,6,0
Man City,Brentford,1,1,0 - 0,0,1,1,0,1,0 - 0,0,1,1,0,1,1 - 0,1,1,0,2 - 0,2,0,0,2 - 0,2,0
Norwich,Crystal Palace,1,1,1 - 0,1,1,0,0,0,1 - 0,1,1,0,0,0,1 - 1,2,0,0,1 - 1,2,0,0,1 - 1,2,0
Tottenham,Southampton,2,3,1 - 0,1,1,1,1,1,1 - 1,2,1,1,1,0,1 - 1,2,1,1,2 - 1,3,1,1,2 - 2,4,1
Burnley,Man Utd,1,1,0 - 1,1,1,0,0,0,0 - 1,1,1,0,0,0,1 - 1,2,0,0,1 - 1,2,0,0,1 - 1,2,0
Newcastle,Everton,2,2,0 - 0,0,1,1,1,1,0 - 0,0,1,1,1,1,2 - 1,3,1,0,2 - 1,3,1,0,3 - 1,4,0
West Ham,Watford,0,1,0 - 0,0,1,0,0,0,0 - 0,0,1,0,0,0,0 - 0,0,1,0,1 - 0,1,0,0,1 - 0,1,0
