Product Name,Product Price,Product Rating,Number of Reviews,Product Units Sold,Product Category,Product URL,Product Image URL
"Office Drawer Storage Clothes Storage, Laundry Sorter, Dirty Clothes Storage Basket, Collapsible Large Laundry Hamper, Waterproof Home Laundry Basket, Clothes Storage Bag",16.97,4.7,7683,5.3K+,Storage & Organization,https://www.temu.com/office-drawer-storage-clothes-storage-laundry-sorter-dirty-clothes-storage-basket-collapsible-large-laundry-hamper-waterproof-home-laundry-basket-clothes-storage-bag-g-601099516761790.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/f9de5479937e6aea99fedf3d21c58326.jpg?imageView2/2/w/500/q/80/format/webp
"3pcs Fitted Sheet Set ( 1 Fitted Sheet + 2 Pillowcases), Waterproof Bed Cap With Wool And Cotton Clamps, Mattress Cover For Bedroom",16.79,4.7,8539,46K+,Bedding,https://www.temu.com/3pcs-fitted-sheet-set-1-fitted-sheet-2-pillowcases-waterproof-bed-cap-with-wool-and-cotton-clamps-mattress-cover-for-bedroom-g-601099512809333.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/a36f6d850d61b0912def26ef57c8e89b.jpg?imageView2/2/w/500/q/80/format/webp
"Horror Skull 3D Digital Pattern Print Men's Graphic T-shirts, Causal Comfy Tees, Short Sleeve Pullover Tops, Men's Summer Outdoor Clothing",6.17,4.8,18282,43K+,Men's T-Shirts,https://www.temu.com/horror-skull-3d-digital-pattern-print-mens-graphic-t-shirts-causal-comfy-tees-short-sleeve-pullover-tops-mens-summer-outdoor-clothing-g-601099516539625.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/f3b542bdd98b454516a76ebf7db222bd.jpg?imageView2/2/w/500/q/80/format/webp
"Solid V Neck Cut Out Drop Shoulder Sweater, Casual Long Sleeve Sweater For Spring & Winter, Women's Clothing",13.87,4.6,9192,9.3K+,,https://www.temu.com/solid-v-neck-cut-out-drop-shoulder-sweater-casual-long-sleeve-sweater-for-spring-winter-womens-clothing-g-601099518665807.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/af66571339d561780d4f4c428e46ff8e.jpg?imageView2/2/w/500/q/80/format/webp
"5pcs Breathable Quick Drying Men's Sport T-Shirt For Fitness, Gym, And Running - Sweat Absorbing And Bodybuilding Shirt",12.37,4.7,15936,27K+,Men's Activewear,https://www.temu.com/5pcs-mens-solid-color-crew-neck-t-shirt-breathable-quick-drying-sweat-absorbing-sport-bodybuilding-shirt-for-training-fitness-gym-running-g-601099513964838.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/eff9f22a5f8aba1e560e616f26bf0b2f.jpg?imageView2/2/w/500/q/80/format/webp
"1pc, Anti-Fatigue Kitchen Rug Set - Soft, Cushioned, Waterproof, Non-Slip, Machine Washable - Perfect for Farmhouse Kitchen, Home Office, Sink, Laundry",3.98,4.5,10363,43K+,Rugs & Mats,https://www.temu.com/1pc-soft-kitchen-rug-cushioned-anti-fatigue-kitchen-rug-modern-waterproof-non-slip-kitchen-rugs-set-runner-rug-bedside-rug-super-absorbent-machine-washable-carpet-for-farmhouse-kitchen-home-office-sink-laundry-g-601099517706513.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/97962c3be01c623905fcbfdd2717d00b.jpg?imageView2/2/w/500/q/80/format/webp
"Plus Size Casual Jeans, Women's Plus Washed Button Fly Medium Stretch Flare Leg Jeans",19.97,4.7,11151,11K+,Curve Denim,https://www.temu.com/plus-size-casual-jeans-womens-plus-washed-button-fly-medium-stretch-flare-leg-jeans-g-601099514260987.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/b4477c426f8655d99ab618292911e5c0.jpg?imageView2/2/w/500/q/80/format/webp
"Large Capacity Storage Bag, Dustproof Zipper Organizer, Quilted Container, Luggage Bag",3.14,4.7,5687,76K+,Storage Bag,https://www.temu.com/large-capacity-storage-bag-dustproof-zipper-organizer-quilted-container-luggage-bag-g-601099514072998.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/84c7ad53877f9fa7b41cbfb0cf49d9ef.jpg?imageView2/2/w/500/q/80/format/webp
"3pcs Contrast Lace Wireless Bras, Comfy & Breathable Full Coverage Bra, Women's Lingerie & Underwear",11.19,4.6,19510,5K+,,https://www.temu.com/3pcs-contrast-lace-wireless-bras-comfy-breathable-full-coverage-bra-womens-lingerie-underwear-g-601099523339374.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/d874da4ffa8673becd4d2a3e300c76f4.jpg?imageView2/2/w/500/q/80/format/webp
Luxury Plating Clear Magnetic For Wireless Charge Case For IPhone15 14 13 12 11 Pro Max X XR XS 8 7 Plus Soft Silicone Cover,1.96,4.7,12139,87K+,"Cases, Holsters & Sleeves",https://www.temu.com/luxury-plating-clear-magnetic-for-magsafe-wireless-charge-case-for-iphone-14-13-12-11-pro-max-x-xr-xs-8-7-plus-soft-silicone-cover-g-601099513389972.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/876d449131cccdf3068c24a92155659b.jpg?imageView2/2/w/500/q/80/format/webp
"1pc Adjustable Silicone Clip-On Strainer,Pot Strainer And Pasta Strainer，Vegetable & Fruit Drainage Basket，The Perfect Kitchen Accessory For Pots, Pans, And Bowls!",3.57,4.7,13359,90K+,Small Appliances & Accessories,https://www.temu.com/1pc-adjustable-silicone-clip-on-strainer-for-pots-pans-and-bowls-kitchen-accessories-g-601099512410338.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/3f4d564c7ba4fd2c5741b1124d786df0.jpg?imageView2/2/w/500/q/80/format/webp
